city,destination,country
Maintirano,MXT,Madagascar
Maio,MMO,Cape Verde
Maitland,MTL,Australia
Majkin,MJE,Marshall Islands
Majma,MJH,Saudi Arabia
Majunga,MJN,Madagascar
Majuro,MAJ,Marshall Islands
City name,Airport Code,Country name
Makabana,KMK,Congo
Makale,MQX,Ethiopia
Makemo,MKP,French Polynesia
Makhachkala,MCX,Russian Federation
Makin Island,MTK,Kiribati
Makini,MPG,Papua New Guinea
Makkovik,YMN,Canada
Makokou,MKU,Gabon
Makoua,MKJ,Congo
Makung,MZG,Taiwan
Makurdi,MDI,Nigeria
Mal,MMV,Papua New Guinea
Mala Mala,AAM,South Africa
Malabang,MLP,Philippines
Malabo,SSG,Equatorial Guinea
Malacca,MKZ,Malaysia
City name,Airport Code,Country name
Malad City,MLD,United States
Malaga,AGP,Spain
Malaimbandy,WML,Madagascar
Malakal,MAK,Sudan
Malalaua,MLQ,Papua New Guinea
Malam,MQO,Papua New Guinea
Malang,MLG,Indonesia
Malange,MEG,Angola
Malargue,LGS,Argentina
Malatya,MLX,Turkey
Malda,LDA,India
Malden,MAW,United States
Male,MLE,Maldives
Malekolon,MKN,Papua New Guinea
Malelane,LLE,South Africa
Mali Losinj,LSZ,Croatia (Hrvatska)
City name,Airport Code,Country name
Maliana,MPT,Indonesia
Malindi,MYD,Kenya
Mallacoota,XMC,Australia
Malmo,JMM,Sweden
Malmo,XFR,Sweden
Malmo,MMX,Sweden
Maloelap Island,MAV,Marshall Islands
Malololailai,PTF,Fiji
Maloy,QFQ,Norway
Gudja,MLA,Malta
Malta,MLK,United States
Mamai,MAP,Papua New Guinea
Mamburao,MBO,Philippines
Mamfe,MMF,Cameroon
Mamitupo,MPI,Panama
Mammoth Lakes,MMH,United States
City name,Airport Code,Country name
Mampikony,WMP,Madagascar
Mamuju,MJU,Indonesia
Man,MJC,Cote D'Ivoire (Ivory Coast)
Mana Island,MNF,Fiji
Manado,MDC,Indonesia
Managua,MGA,Nicaragua
Manakara,WVK,Madagascar
Manama,WGF,Bahrain
Mananara,WMR,Madagascar
Manang,NGX,Nepal
Mananjary,MNJ,Madagascar
Manare,MRM,Papua New Guinea
Manassas,MNZ,United States
Manatee,MZE,Belize
Manaung,MGU,Myanmar
Manaus,MAO,Brazil
City name,Airport Code,Country name
Manchester,MAN,United Kingdom
Manchester,ZMP,United Kingdom
Manchester,MHT,United States
Mandabe,WMD,Madagascar
Mandalay,MDL,Myanmar
Mandalgobi,MXW,Mongolia
Mandera,NDE,Kenya
Mandeville,MVJ,Jamaica
Mandji,KMD,Gabon
Mandora,MQA,Australia
Mandritsara,WMA,Madagascar
Manega,MGO,Gabon
Manetai,MVI,Papua New Guinea
Manga,MGP,Papua New Guinea
Mangaia Island,MGS,Cook Islands
Mangalore,IXE,India
City name,Airport Code,Country name
Mangla,XJM,Pakistan
Mangochi,MAI,Malawi
Mangole,MAL,Indonesia
Mangrove Cay,MAY,Bahamas
Manguna,MFO,Egypt
Mangunjaya,MJY,Indonesia
Manhattan,MHK,United States
Manicore,MNX,Brazil
Manihi,XMH,French Polynesia
Manihiki Island,MHX,Cook Islands
Maniitsoq,JSU,Greenland
Manila,MXA,United States
Manila,MNL,Philippines
Cavite City,SGL,Philippines
Maningrida,MNG,Australia
Manistee,MBL,United States
City name,Airport Code,Country name
Manistique,ISQ,United States
Manitouwadge,YMG,Canada
Manitowaning,YEM,Canada
Manitowoc,MTW,United States
Maniwaki,YMW,Canada
Manizales,MZL,Colombia
Manja,MJA,Madagascar
Manjimup,MJP,Australia
Mankato,MKT,United States
Mankato,JMN,United States
Mankono,MOK,Cote D'Ivoire (Ivory Coast)
Manley Hot Springs,MLY,United States
Manly,WGZ,Australia
Manners Creek,MFP,Australia
Mannheim,MHG,Germany
Manokotak,KMO,United States
City name,Airport Code,Country name
Manokwari,MKW,Indonesia
Manono,MNO,Zaire
Mansa,MNS,Zambia
Mansehra,HRA,Pakistan
Mansfield,MFD,United States
Mansion House,KWU,New Zealand (Aotearoa)
Manston,MSE,United Kingdom
Manta,MEC,Ecuador
Manteo,MEO,United States
Manti,NTJ,United States
Manumu,UUU,Papua New Guinea
Manus Island,MAS,Papua New Guinea
Manville,JVI,United States
Manzanillo,MZO,Cuba
Manzanillo,ZLO,Mexico
Manzhouli,NZH,China
City name,Airport Code,Country name
Manzini,MTS,Swaziland
Mao,AMO,Chad
Maota Savaii Is,MXS,Samoa
Maple Bay,YAQ,Canada
Mapoda,MPF,Papua New Guinea
Mapua,MPU,Papua New Guinea
Maputo,MPM,Mozambique
Maquinchao,MQD,Argentina
Mar Del Plata,MDQ,Argentina
Mara Lodges,MRE,Kenya
Maraba,MAB,Brazil
Maracaibo,MAR,Venezuela
Maracay,MYC,Venezuela
Maradi,MFQ,Niger
Marakei,MZK,Kiribati
Maramag,XMA,Philippines
City name,Airport Code,Country name
Maramuni,MWI,Papua New Guinea
Marana,MZJ,United States
Marathon,MTH,United States
Marathon,YSP,Canada
Marau Sound,RUS,Solomon Islands
Marawaka,MWG,Papua New Guinea
Marble Bar,MBB,Australia
Marble Canyon,MYH,United States
Marcala,MRJ,Honduras
Marco Island,MRK,United States
Marcus Island,MUS,Japan
Mardin,MQM,Turkey
Mare,MEE,New Caledonia
Mareb,MYN,Yemen
Mareeba,MRG,Australia
Marfa,MRF,United States
City name,Airport Code,Country name
Margaret River,MQZ,Australia
Margaret River Station,MGV,Australia
Margarima,MGG,Papua New Guinea
Margate,MGH,South Africa
Marguerite Bay,RTE,United States
Marianske Lazne,MKA,Czechoslovakia (former)
Maribo,MRW,Denmark
Maribor,MBX,Slovenia
Maricourt Airstrip,YMC,Canada
Marie Galante,GBJ,Guadeloupe
Mariehamn,MHQ,Finland
Marietta,NCQ,United States
Marietta,MGE,United States
Marilia,MII,Brazil
Marina Di Massa,QMM,Italy
Marinduque,MRQ,Philippines
City name,Airport Code,Country name
Maringa,MGF,Brazil
Marion,MWA,United States
Marion,MZZ,United States
Marion,MNN,United States
Marion Downs,MXD,Australia
Maripasoula,MPY,French Guiana
Mariquita,MQU,Colombia
Mariscal Estigarribia,ESG,Paraguay
Mariupol,MPW,Ukraine
Marks,MMS,United States
Marla,MRP,Australia
Marlborough,MXG,United States
Marmul,OMM,Oman
Maroantsetra,WMN,Madagascar
Maron,MNP,Papua New Guinea
Maroua,MVR,Cameroon
City name,Airport Code,Country name
Marqua,MQE,Australia
Marquette,MQT,United States
Marrakech,RAK,Morocco
Marree,RRE,Australia
Marromeu,RRM,Mozambique
Marsa Alam,RMF,Egypt
Marsa Brega,LMQ,Libya
Marsabit,RBT,Kenya
Marseille,MRS,France
Marseille,XRF,France
Marsh Harbour,MHH,Bahamas
Marshall,MLL,United States
Marshall,MML,United States
Marshall,MHL,United States
Marshall,ASL,United States
Marshalltown,MIW,United States
City name,Airport Code,Country name
Marshfield,MFI,United States
Martinsburg,AOO,United States
Martinsburg,MRB,United States
Marudi,MUR,Malaysia
Mary,MYP,Turkmenistan
Maryborough,MBH,Australia
Marysville,BAB,United States
Marysville,MYV,United States
Masa,MBV,Papua New Guinea
Masada,MTZ,Israel
Masalembo,MSI,Indonesia
Masamba,MXB,Indonesia
Masasi,XMI,Tanzania
Masbate,MBT,Philippines
Mascara,MUW,Algeria
Maseru,MSU,Lesotho
City name,Airport Code,Country name
Mashad,MHD,Iran
Masi Manimba,MSM,Zaire
Masindi,KCU,Uganda
Masirah,MSH,Oman
Mason City,MCW,United States
Massawa,MSW,Ethiopia
Massena,MSS,United States
Masset,ZMT,Canada
Masterton,MRO,New Zealand (Aotearoa)
Mastic Point,MSK,Bahamas
Masvingo,MVZ,Zimbabwe
Matadi,MAT,Zaire
Matagami,YNM,Canada
Matagorda Island,MGI,United States
Mataiva,MVT,French Polynesia
Matak,MWK,Indonesia
City name,Airport Code,Country name
Matam,MAX,Senegal
Matamata,MTA,New Zealand (Aotearoa)
Matamoros,MAM,Mexico
Matane,YME,Canada
Matanzas,VRO,Cuba
Mataram,AMI,Indonesia
Mati,MXI,Philippines
Mato Grosso,MTG,Brazil
Matsaile,MSG,Lesotho
Matsu,MFK,Taiwan
Matsumoto,MMJ,Japan
Matsuyama,MYJ,Japan
Matthews Ridge,MWJ,Guyana
Mattoon,MTO,United States
Matupa,MBK,Brazil
Maturin,MUN,Venezuela
City name,Airport Code,Country name
Maues,MBZ,Brazil
Mauke Island,MUK,Cook Islands
Maulmyine,MNU,Myanmar
Maumere,MOF,Indonesia
Maun,MUB,Botswana
Maupiti,MAU,French Polynesia
Mauritius,MRU,Mauritius
Maxton,MXE,United States
May Creek,MYK,United States
May River,MRH,Papua New Guinea
Mayaguana,MYG,Bahamas
Mayaguez,MAZ,Puerto Rico
Mayajigua,MJG,Cuba
Mayo,YMA,Canada
Mayoumba,MYB,Gabon
Mayport,NRB,United States
City name,Airport Code,Country name
Mazar-I-Sharif,MZR,Afghanistan
Mazatlan,MZT,Mexico
Mbala,MMQ,Zambia
Mbambanakira,MBU,Solomon Islands
Mbandaka,MDK,Zaire
Mbarara,MBQ,Uganda
Mbeya,MBI,Tanzania
Mbigou,MBC,Gabon
Mbout,MBR,Mauritania
Mbuji Mayi,MJM,Zaire
Mc Alester,MLC,United States
Mc Rae,MQW,United States
Mcarthur River,MCV,Australia
Mccall,MYL,United States
Mccarthy,MXY,United States
Mccomb,MCB,United States
City name,Airport Code,Country name
Mccook,MCK,United States
Mcgrath,MCG,United States
Mcminnville,RNC,United States
Mcpherson,MPR,United States
Meadow Lake,YLJ,Canada
Meadville,MEJ,United States
Mechria,MZW,Algeria
Medan,MES,Indonesia
Medellín,EOH,Colombia
Medellin,MDE,Colombia
Medford,MFR,United States
Medford,MDF,United States
Medfra,MDR,United States
Medicine Hat,YXH,Canada
Medina,MND,Colombia
Medouneu,MDV,Gabon
City name,Airport Code,Country name
Meekatharra,MKR,Australia
Megeve,MVV,France
Meghauli,MEY,Nepal
Mehamn,MEH,Norway
Meixian,MXZ,China
Mejit Island,MJB,Marshall Islands
Mekambo,MKB,Gabon
Mekane Selam,MKS,Ethiopia
Meknes,MEK,Morocco
Mekoryuk,MYU,United States
Melangguane,MNA,Indonesia
Melbourne,MLB,United States
Geelong,AVV,Australia
Melbourne,KAH,Australia
Melbourne,MEB,Australia
Melbourne,MEL,Australia
City name,Airport Code,Country name
Melchor De Menco,MCR,Guatemala
Melfa,MFV,United States
Melfi,MEF,Chad
Melilla,MLN,Spain
Melinda,MDB,Belize
Melo,MLZ,Uruguay
Memanbetsu,MMB,Japan
Memphis,MEM,United States
Memphis,NQA,United States
Mena,MZX,Ethiopia
Mende,MEN,France
Mendez,MZD,Ecuador
Mendi,NDM,Ethiopia
Mendi,MDU,Papua New Guinea
Mendoza,MDZ,Argentina
Menominee,MNM,United States
City name,Airport Code,Country name
Menongue,SPP,Angola
Menorca,MAH,Spain
Menyamya,MYX,Papua New Guinea
Meran,ZMR,Italy
Merauke,MKQ,Indonesia
Merced,MER,United States
Merced,MCE,United States
Mercedes,MDX,Argentina
Mercury,DRA,United States
Merdey,RDE,Indonesia
Meribel,MFX,France
Merida,MID,Mexico
Merida,MRD,Venezuela
Meridian,MEI,United States
Merimbula,MIM,Australia
Merlo,RLO,Argentina
City name,Airport Code,Country name
Merluna,MLV,Australia
Merowe,MWE,Sudan
Merrill,RRL,United States
Merritt,YMB,Canada
Merry Island,YMR,Canada
Mersa Matruh,MUH,Egypt
Mersing,MEP,Malaysia
Merty,RTY,Australia
Merzifon,MZH,Turkey
Mesa,MSC,United States
Mesalia,MFZ,Papua New Guinea
Mesquite,MFH,United States
Messina,MEZ,South Africa
Metlakatla,MTM,United States
Metz,MZM,France
Metz/Nancy,ETZ,France
City name,Airport Code,Country name
Meulaboh,MEQ,Indonesia
Mevang,MVG,Gabon
Mexicali,MXL,Mexico
Mexico City,AZP,Mexico
Mexico City,MEX,Mexico
Mexico City,NLU,Mexico
Meyers Chuck,WMK,United States
Mfuwe,MFU,Zambia
Miami,TNT,United States
Miami,JDM,United States
Miami,MIA,United States
Miami,OPF,United States
Miami,MPB,United States
Miami,TMB,United States
Miami,MIO,United States
Mian Yang,MIG,Germany
City name,Airport Code,Country name
Miandrivazo,ZVA,Madagascar
Mianwali,MWD,Pakistan
Michigan City,MGC,United States
Middle Caicos,MDS,Turks and Caicos Islands
Middlemount,MMM,Australia
Middleton Island,MDO,United States
"Middletown, Ohio",MWO,United States
Midgard,MQG,Namibia
Midland,MDD,United States
Midland,MAF,United States
Midway Island,MDY,US Minor Outlying Islands
Miele Mimbale,GIM,Gabon
Mikkeli,MIK,Finland
Mikonos,JMK,Greece
Milan,XIK,Italy
Milan,LIN,Italy
City name,Airport Code,Country name
Milan,MXP,Italy
Milan/bergamo,BGY,Italy
Parma,PMF,Italy
Milan,SWK,Italy
Mildenhall,MHZ,United Kingdom
Mildenhall,GXH,United Kingdom
Mildura,MQL,Australia
Miles City,MLS,United States
Milford,MLF,United States
Milford Sound,MFN,New Zealand (Aotearoa)
Mili Atoll,EJT,Marshall Islands
Mili Island,MIJ,Marshall Islands
Milingimbi,MGT,Australia
Milledgeville,MLJ,United States
Millicent,MLR,Australia
Millinocket,MLT,United States
City name,Airport Code,Country name
Millville,MIV,United States
Milos,MLO,Greece
Milton,NSE,United States
Milton Keynes,KYN,United Kingdom
Milwaukee,ZML,United States
Milwaukee,MKE,United States
Milwaukee,MWC,United States
Minacu,MQH,Brazil
Minaki,YMI,Canada
Minami Daito,MMD,Japan
Minatitlan,MTT,Mexico
Minchumina,MHM,United States
Minden,MEV,United States
Mindik,MXK,Papua New Guinea
Mindiptana,MDP,Indonesia
Mineral Wells,CWO,United States
City name,Airport Code,Country name
Mineral Wells,MWL,United States
Mineralnye Vody,MRV,Russian Federation
Miners Bay,YAV,Canada
Miners Lake,MRL,Australia
Mingan,YLP,Canada
Minhad Ab,NHD,United Arab Emirates
Minj,MZN,Papua New Guinea
Minlaton,XML,Australia
Minna,MXJ,Nigeria
Minneapolis,MIC,United States
Minneapolis,JDT,United States
Minneapolis,FCM,United States
Minneapolis,MSP,United States
Minneriya,MNH,Sri Lanka
Minnipa,MIN,Australia
Minocqua,ARV,United States
City name,Airport Code,Country name
Minot,MOT,United States
Minot,MIB,United States
Minsk,MHP,Belarus
Minsk,MSQ,Belarus
Minto,MNT,United States
Minvoul,MVX,Gabon
Miquelon,MQC,St. Pierre and Miquelon
Miracema Do Norte,NTM,Brazil
Miraflores,MFS,Colombia
Miramar,MJR,Argentina
Miramichi,YCH,Canada
Miranda Downs,MWY,Australia
Mirgorod,MXR,Ukraine
Miri,MYY,Malaysia
Miriti,MIX,Colombia
Mirnyj,MJZ,Russian Federation
City name,Airport Code,Country name
Mirpur Khas,MPD,Pakistan
Misawa,MSJ,Japan
Misima Island,MIS,Papua New Guinea
Miskolc,MCQ,Hungary
Misrak Gashamo,MHJ,Ethiopia
Mission,MFE,United States
Missoula,MSO,United States
Misurata,MRA,Libya
Mitchell,MTQ,Australia
Mitchell,MHE,United States
Mitchell Plateau,MIH,Australia
Mitchell River,MXQ,Australia
Mitiaro Island,MOI,Cook Islands
Mitiga,MJI,Libya
Mitspeh Ramon,MIP,Israel
Mittiebah,MIY,Australia
City name,Airport Code,Country name
Mitu,MVP,Colombia
Mitzic,MZC,Gabon
Miyake Jima,MYE,Japan
Miyako Jima,MMY,Japan
Miyanmin,MPX,Papua New Guinea
Miyazaki,KMI,Japan
Mizan Teferi,MTF,Ethiopia
Mkambati,MBM,South Africa
Mkuze,MZQ,South Africa
Mmabatho,MBD,South Africa
Mo I Rana,MQN,Norway
Moa,MOA,Cuba
Moab,CNY,United States
Moabi,MGX,Gabon
Moala,MFJ,Fiji
Moanamani,ONI,Indonesia
City name,Airport Code,Country name
Moanda,MNB,Zaire
Moanda,MFF,Gabon
Moba,BDV,Zaire
Moberly,MBY,United States
Mobile,BFM,United States
Mobile,MOB,United States
Mobridge,MBG,United States
Mocimboa Praia,MZB,Mozambique
Modena,ZMO,Italy
Modesto,MOD,United States
Moelv,XUJ,Norway
Moengo,MOJ,Suriname
Mogadishu,MGQ,Somalia
Mogilev,MVQ,Belarus
Mohanbari,MOH,India
Moheli,NWA,Comoros
City name,Airport Code,Country name
Mohenjodaro,MJD,Pakistan
Mojave,MHV,United States
Mokhotlong,MKH,Lesotho
Moki,MJJ,Papua New Guinea
Mokpo,MPK,Korea (South)
Mokuti Lodge,OKU,Namibia
Molde,MOL,Norway
Moline,MLI,United States
Moma,MMW,Mozambique
Mombasa,MBA,Kenya
Momeik,MOE,Myanmar
Mompos,MMP,Colombia
Monahans,MIF,United States
Monbetsu,MBE,Japan
Monclova,LOV,Mexico
Monfort,MFB,Colombia
City name,Airport Code,Country name
Mong Hsat,MOG,Myanmar
Mong Ton,MGK,Myanmar
Mongo,MVO,Chad
Mongu,MNR,Zambia
Monkey Bay,MYZ,Malawi
Monkey Mia,MJK,Australia
Monkey Mountain,MYM,Guyana
Monkira,ONR,Australia
Mono,MNY,Solomon Islands
Monroe,MLU,United States
Monroe,MVC,United States
Monrovia,ROB,Liberia
Monrovia,MLW,Liberia
Mont Joli,YYY,Canada
Mont Tremblant,YTM,Canada
Montagne Harbor,YMF,Canada
City name,Airport Code,Country name
Montague,SIY,United States
Montauk,MTP,United States
Monte Alegre,MTE,Brazil
Monte Carlo,MCM,Monaco
Monte Caseros,MCS,Argentina
Monte Dourado,MEU,Brazil
Monte Libano,MTB,Colombia
Monteagudo,MHW,Bolivia
Montego Bay,MBJ,Jamaica
Montepuez,MTU,Mozambique
Chicago,OAR,United States
Monterey,MRY,United States
Monteria,MTR,Colombia
Monterrey,MOY,Colombia
Monterrey,NTR,Mexico
Monterrey,MTY,Mexico
City name,Airport Code,Country name
Montes Claros,MOC,Brazil
Montevideo,MVE,"MINNESOTA"""
Montevideo,MVD,Uruguay
Montgomery,MGM,United States
Montgomery,GUN,United States
Montgomery,MXF,United States
Montgomery,MGJ,United States
Monticello,MXO,United States
Monticello,MSV,United States
Monticello,MXC,United States
Montilla,OZU,Spain
Montlucon,MCU,France
Monto,MNQ,Australia
Montpelier,MPV,United States
Montpellier,MPL,France
Montpellier,XPJ,France
City name,Airport Code,Country name
Montreal,YMX,Canada
Montreal,YUL,Canada
Montreal,YHU,Canada
Montreal,XLM,Canada
Montrose,MTJ,United States
Montserrat,MNI,Montserrat
Montvale,QMV,United States
Monument Valley Gldngs,GMV,United States
Moolawatana,MWT,Australia
Moomba,MOO,Australia
Moorabbin,MBW,Australia
Mooraberree,OOR,Australia
Moorea,MOZ,French Polynesia
Moose Jaw,YMJ,Canada
Moose Lake,YAD,Canada
Moosonee,YMO,Canada
City name,Airport Code,Country name
Mopti,MZI,Mali
Mora,MXX,Sweden
Morafenobe,TVA,Madagascar
Moranbah,MOV,Australia
Morawa,MWB,Australia
Moree,MRZ,Australia
Morehead,MHY,Papua New Guinea
Morelia,MLM,Mexico
Moreton,MET,Australia
Morganton,MRN,United States
Morgantown,MGW,United States
Morichal,MHF,Colombia
Morlaix,MXN,France
Morney,OXY,Australia
Mornington,ONG,Australia
Moro,MXH,Papua New Guinea
City name,Airport Code,Country name
Moroak,MRT,Australia
Morobe,OBM,Papua New Guinea
Morombe,MXM,Madagascar
Moron,OZP,Spain
Moron,MXV,Mongolia
Morondava,MOQ,Madagascar
Moroni,YVA,Comoros
Moroni,HAH,Comoros
"Pitu, Morotai Island",OTI,Indonesia
Morrilton,MPJ,United States
Morris,MOX,United States
Morristown,MMU,United States
Morristown,MOR,United States
Moruya,MYA,Australia
Moscow,BKA,Russian Federation
Moscow,DME,Russian Federation
City name,Airport Code,Country name
Moscow,ZKD,Russian Federation
Moscow,XRK,Russian Federation
Moscow,SVO,Russian Federation
Moscow,VKO,Russian Federation
Moser Bay,KMY,United States
Moses Lake,MWH,United States
Moses Lake,LRN,United States
Moses Point,MOS,United States
Mosjoen,MJF,Norway
Mosquera,MQR,Colombia
Mossel Bay,MZY,South Africa
Mossendjo,MSX,Congo
Mossoro,MVF,Brazil
Mostaganem,MQV,Algeria
Mostar,OMO,Bosnia and Herzegovina
Mosteiros,MTI,Cape Verde
City name,Airport Code,Country name
Mostyn,MZS,Malaysia
Mosul,OSM,Iraq
Mota,OTA,Ethiopia
Mota Lava,MTV,Vanuatu
Motswari,MWR,South Africa
Motueka,MZP,New Zealand (Aotearoa)
Moudjeria,MOM,Mauritania
Mougulu,GUV,Papua New Guinea
Mouila,MJL,Gabon
Mould Bay,YMD,Canada
Moultrie,MUL,United States
Moultrie,MGR,United States
Moundou,MQQ,Chad
Mount Aue,UAE,Papua New Guinea
Mount Buffalo,MBF,Australia
Mount Cook,GTN,New Zealand (Aotearoa)
City name,Airport Code,Country name
Mount Cook,MON,New Zealand (Aotearoa)
Mount Cook,TWZ,New Zealand (Aotearoa)
Mount Etjo Lodge,MJO,Namibia
Mount Full Stop,MFL,Australia
Mount Gambier,MGB,Australia
Mount Gunson,GSN,Australia
Mount Hagen,HGU,Papua New Guinea
Mount Holly,LLY,United States
Mount Hotham,MHU,Australia
Mount House,MHO,Australia
Mount Isa,ISA,Australia
Mount Keith,WME,Australia
Mount Magnet,MMG,Australia
Mount Pleasant,MPN,Falkland Islands
Mount Pleasant,MOP,United States
Mount Pleasant,MPS,United States
City name,Airport Code,Country name
Mount Shasta,MHS,United States
Mount Swan,MSF,Australia
Mount Union,MUU,United States
Mount Vernon,MVW,United States
Mount Wilson,MWS,United States
Mountain,MWP,Nepal
Mountain Home,WMH,United States
Mountain Home,MUO,United States
Mountain Valley,MNV,Australia
Mountain View,NUQ,United States
Mountain Village,MOU,United States
Mouscron,MWW,Belgium
Mouyondzi,MUY,Congo
Moyale,MYS,Ethiopia
Moyale,OYL,Kenya
Moyo,OYG,Uganda
City name,Airport Code,Country name
Moyobamba,MBP,Peru
Mpacha,MPA,Namibia
Mt Barnett,MBN,Australia
Mt Cavenagh,MKV,Australia
Mt Clemens,NFB,United States
Mt Clemens,MTC,United States
Mt Mckinley,MCL,United States
Mt Pleasant,MPZ,United States
Mt Pleasant,MSD,United States
Mt Pocono,MPO,United States
Mt Sandford,MTD,Australia
Mt Vernon,MVN,United States
Mtwara,MYW,Tanzania
Muccan,MUQ,Australia
Mucuri,MVS,Brazil
Mudanjiang,MDG,China
City name,Airport Code,Country name
Mudgee,DGE,Australia
Mueda,MUD,Mozambique
Muenster,FMO,Germany
Mueo,PDC,New Caledonia
Muharraq,GBQ,Bahrain
Mui,MUJ,Ethiopia
Mukah,MKM,Malaysia
Mukalla,MKX,Yemen
Mukeiras,UKR,Yemen
Muko-Muko,MPC,Indonesia
Mulatos,ULS,Colombia
Mulatupo,MPP,Panama
Mulege,MUG,Mexico
Mulga Park,MUP,Australia
Basel Mulhouse Freiburg,MLH,France
Mulhouse/Basel,BSL,Switzerland
City name,Airport Code,Country name
Mulia,LII,Indonesia
Mulka,MVK,Australia
Mull,ULL,United Kingdom
Mullen,MHN,United States
Mullewa,MXU,Australia
Multan,MUX,Pakistan
Mulu,MZV,Malaysia
Mumbai,BOM,India
Mumias,MUM,Kenya
Munbil,LNF,Papua New Guinea
Muncie,MIE,United States
Munda,MUA,Solomon Islands
Munduku,MDM,Papua New Guinea
Mundulkiri,MWV,Cambodia
Mungeranie,MNE,Australia
Augsburg,AGB,Germany
City name,Airport Code,Country name
Munich,MUC,Germany
Muong Sai,UON,Laos
Murcia,MJV,Spain
Murmansk,MMK,Russian Federation
Murray,CEY,United States
Murray Bay,YML,Canada
Murray Island,MYI,Australia
Murzuq,QMQ,Libya
Mus,MSR,Turkey
Muscat,MCT,Oman
Muscatine,MUT,United States
Musgrave,MVU,Australia
Musha,MHI,Djibouti
Muskegon,MKG,United States
Muskogee,MKO,United States
Muskogee,HAX,United States
City name,Airport Code,Country name
Muskoka,YQA,Canada
Muskrat Dam,MSA,Canada
Musoma,MUZ,Tanzania
Mussau,MWU,Papua New Guinea
Mustique Island,MQS,Saint Vincent and the Grenadines
Mutare,UTA,Zimbabwe
Muting,MUF,Indonesia
Muttaburra,UTB,Australia
Muzaffarabad,MFG,Pakistan
Muzaffarnagar,MZA,India
Muzaffarpur,MZU,India
Mvuu Camp,VUU,Malawi
Mwadui,MWN,Tanzania
Mwanza,MWZ,Tanzania
Mweka,MEW,Zaire
Myeik,MGZ,Myanmar
City name,Airport Code,Country name
Myitkyina,MYT,Myanmar
Myroodah,MYO,Australia
Myrtle Beach,CRE,United States
Myrtle Beach,MYR,United States
Mysore,MYQ,India
Mytilene,MJT,Greece
Myvatn,MVA,Iceland
Mzamba(Wild Coast Sun),MZF,South Africa
Mzuzu,ZZU,Malawi
N. Sound/Virgin Gorda,NSX,Virgin Islands (British)
Naberevnye Chelny,NBC,Russian Federation
Nabire,NBX,Indonesia
Nacala,MNC,Mozambique
Nachingwea,NCH,Tanzania
Nacogdoches,OCH,United States
Nacogdoches,LFK,United States
City name,Airport Code,Country name
Nadi,NAN,Fiji
Nador,NDR,Morocco
Nadunumu,NDN,Papua New Guinea
Nadym,NYM,Russian Federation
Nafoora,NFR,Libya
Naga,WNP,Philippines
Nagasaki,NGS,Japan
Nagoya,NKM,Japan
Nagpur,NAG,India
Naha,NAH,Indonesia
Nain,YDP,Canada
Nairobi,NBO,Kenya
Nairobi,WIL,Kenya
Nakashibetsu,SHB,Japan
Nakhichevan,NAJ,Azerbaijan
Nakhon Phanom,KOP,Thailand
City name,Airport Code,Country name
Nakhon Ratchasima,NAK,Thailand
Nakhon Si Thammarat,NST,Thailand
Nakina,YQN,Canada
Naknek,NNK,United States
Nakolik River,NOL,United States
Nakuru,NUU,Kenya
Nalchik,NAL,Russian Federation
Namangan,NMA,Uzbekistan
Namatanai,ATN,Papua New Guinea
Nambaiyufa,NBA,Papua New Guinea
Nambour,NBR,Australia
Nambucca Heads,NBH,Australia
Namdrik Island,NDK,Marshall Islands
Namibe,MSZ,Angola
Namlea,NAM,Indonesia
Nampula,APL,Mozambique
City name,Airport Code,Country name
Namrole,NRE,Indonesia
Namsang,NMS,Myanmar
Namsos,OSY,Norway
Namtu,NMT,Myanmar
Namu,ZNU,Canada
Namu,NMU,Marshall Islands
Namudi,NDI,Papua New Guinea
Namutoni,NNI,Namibia
Nan,NNT,Thailand
Nanaimo,ZNA,Canada
Nanaimo,YCD,Canada
Nanchang,KHN,China
Nanchong,NAO,China
Nancy,ENC,France
Nanded,NDC,India
Nangade,NND,Mozambique
City name,Airport Code,Country name
Nangan,LZN,Taiwan
Nangapinoh,NPO,Indonesia
Nanhai,ZEF,China
Nanisivik,YSR,Canada
Nankina,NKN,Papua New Guinea
Nanking/nanjing,NKG,China
Nanning,NNG,China
Nanortalik,JNN,Greenland
Nantes,NTE,France
Nantong,NTG,China
Nantucket,ACK,United States
Nanuque,NNU,Brazil
Nanwalek,KEB,United States
Nanyang,NNY,China
Nanyuki,NYK,Kenya
Naoro,NOO,Papua New Guinea
City name,Airport Code,Country name
Napa,APC,United States
Napakiak,WNA,United States
Napaskiak,PKA,United States
Napier-Hastings,NPE,New Zealand (Aotearoa)
Naples,APF,United States
Naples,NAP,Italy
Naples,ZMF,Italy
Naples,ZMJ,Italy
Naples,ZMI,Italy
Nappa Merry,NMR,Australia
Napperby,NPP,Australia
Napuka Island,NAU,French Polynesia
Nara,NRM,Mali
Naracoorte,NAC,Australia
Narathiwat,NAW,Thailand
Nare,NAR,Colombia
City name,Airport Code,Country name
Nargana,NGN,Panama
Narrabri,NAA,Australia
Narrandera,NRA,Australia
Narrogin,NRG,Australia
Narsaq,JNS,Greenland
Narsarsuaq,UAK,Greenland
Narvik,NVK,Norway
Naryan-Mar,NNM,Russian Federation
Nashua,ASH,United States
Nashville,BNA,United States
Nasik,ISK,India
Nasiriyah,XNH,Iraq
